GRegory,gregory,c,UNRECOGNIZED,0
am,am,s,SelfDisclosure,1
a,a,s,SelfDisclosure,2
pretty,pretty,s,SubjectivePercept,0
piece,piece,s,SenseObject,0
of,of,s,SenseObject,1
flesh,flesh,c,SenseObject,0
.,.,nn,ReportingStates,0
It,it,s,ReportingStates,1
Is,is,s,ReportingStates,2
well,well,s,SenseObject,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
Fish,fish,c,SenseObject,0
:,:,s,,0
If,if,s,Contingency,0
thou,thou,s,DirectAddress,0
had,had,c,ProjectBack,0
",",",",s,ProjectBack,1
thou,thou,s,DirectAddress,0
had,had,s,ProjectBack,0
been,been,s,ProjectBack,1
poor,poor,s,Negativity,0
John,john,c,Negativity,1
.,.,n,MoveBody,0
Draw,draw,s,MoveBody,1
thy,thy,s,DirectAddress,0
Tool,tool,c,SenseObject,0
",",",",s,,0
here,here,s,Immediacy,0
comes,comes,s,Immediacy,1
of,of,s,,0
the,the,s,SenseObject,0
House,house,s,SenseObject,1
of,of,s,,0
the,the,s,,0
Mountagues,mountagues,nnn,UNRECOGNIZED,0
My,my,s,FirstPer,0
naked,naked,s,SenseObject,0
weapon,weapon,s,AbstractConcepts,0
is,is,s,ReportingStates,0
out,out,c,,0
:,:,s,,0
quarrel,quarrel,c,Negative_Relation,0
",",",",s,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
back,back,s,,0
thee,thee,nnn,DirectAddress,0
How,how,c,Question,0
?,?,s,Question,1
Turn,turn,s,,0
thy,thy,s,DirectAddress,0
back,back,c,,0
",",",",s,,0
and,and,s,,0
run,run,c,ReportingEvents,0
.,.,nnn,,0
Fear,fear,s,Fear,0
me,me,s,FirstPer,0
not,not,c,DenyDisclaim,0
.,.,nnn,,0
No,no,s,DenyDisclaim,0
marry,marry,c,Positivity,0
:,:,s,,0
I,i,s,Fear,0
fear,fear,s,Fear,1
thee,thee,c,DirectAddress,0
.,.,nnn,DirectAddress,0
Let,let,s,DirectAddress,1
us,us,s,DirectAddress,2
take,take,s,DirectAddress,3
the,the,s,DirectAddress,4
Law,law,s,AbstractConcepts,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
sides,sides,c,AbstractConcepts,0
*,*,s,,0
let,let,s,ReportingEvents,0
them,them,s,ReportingEvents,1
begin,begin,c,Sequence,0
.,.,nnn,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
frown,frown,s,Negativity,0
as,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
pass,pass,s,Motions,0
by,by,c,Motions,1
",",",",s,,0
and,and,s,,0
let,let,s,ReportingEvents,0
the^,the^,s,UNRECOGNIZED,0
take,take,s,Responsibility,0
it,it,s,Responsibility,1
as,as,s,TimeDuration,0
they,they,s,TimeDuration,1
list,list,nnn,,0
Nay,nay,c,OralCues,0
",",",",s,,0
as,as,s,TimeDuration,0
they,they,s,TimeDuration,1
dare,dare,c,SubjectivePercept,0
.,.,s,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
bite,bite,s,Motions,0
my,my,s,FirstPer,0
Thumb,thumb,s,SenseObject,0
at,at,s,,0
them,them,c,,0
",",",",s,Aside,0
which,which,s,Aside,1
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
disgrace,disgrace,s,StandardsNeg,0
to,to,s,StandardsNeg,1
them,them,c,,0
",",",",n,,0
if,if,s,Contingency,0
they,they,s,Contingency,1
bear,bear,s,Negativity,0
it,it,nnn,Negativity,1
Do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
bite,bite,s,Motions,0
your,your,s,DirectAddress,0
Thumb,thumb,s,SenseObject,0
at,at,s,Motions,0
us,us,s,Motions,1
sir,sir,c,PersonProperty,0
?,?,nnn,Question,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
bite,bite,s,Motions,0
my,my,s,FirstPer,0
Thumb,thumb,c,SenseObject,0
",",",",s,,0
sir,sir,c,PersonProperty,0
.,.,nnn,DirectAddress,0
Do,do,s,DirectAddress,1
you,you,s,DirectAddress,2
bite,bite,s,Motions,0
your,your,s,DirectAddress,0
Thumb,thumb,s,SenseObject,0
at,at,s,Motions,0
us,us,c,Motions,1
",",",",s,,0
sir,sir,c,PersonProperty,0
?,?,nnn,Question,0
Is,is,s,CommonAuthorities,0
the,the,s,CommonAuthorities,1
Law,law,s,CommonAuthorities,2
of,of,s,Inclusive,0
our,our,s,Inclusive,1
side,side,c,,0
",",",",s,,0
if,if,s,Contingency,0
I,i,s,FirstPer,0
say,say,s,Citations,0
I,i,c,FirstPer,0
?,?,nnn,Question,0
No,no,c,DenyDisclaim,0
.,.,nnn,,0
No,no,s,OralCues,0
sir,sir,c,OralCues,1
",",",",s,,0
I,i,s,FirstPer,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
bite,bite,s,Motions,0
my,my,s,FirstPer,0
Thumb,thumb,s,SenseObject,0
at,at,s,SpaceRelation,0
you,you,s,SpaceRelation,1
sir,sir,c,PersonProperty,0
:,:,s,,0
but,but,s,Resistance,0
I,i,s,FirstPer,0
bite,bite,s,Motions,0
my,my,s,FirstPer,0
Thumb,thumb,s,SenseObject,0
sir,sir,c,PersonProperty,0
.,.,nnn,DirectAddress,0
Do,do,s,DirectAddress,1
you,you,s,DirectAddress,2
quarrel,quarrel,s,Negative_Relation,0
sir,sir,c,PersonProperty,0
?,?,nnn,Question,0
Quarrel,quarrel,s,Negative_Relation,0
sir,sir,c,PersonProperty,0
?,?,s,Question,0
no,no,s,OralCues,0
sir,sir,c,OralCues,1
.,.,nnn,,0
If,if,s,Contingency,0
you,you,s,DirectAddress,0
do,do,s,DirectAddress,1
sir,sir,c,PersonProperty,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
for,for,s,SelfDisclosure,2
you,you,c,DirectAddress,0
",",",",s,,0
I,i,s,FirstPer,0
serve,serve,s,ReportingEvents,0
as,as,s,ReportingEvents,1
good,good,s,,0
a,a,s,PersonProperty,0
man,man,s,PersonProperty,1
as,as,s,DirectAddress,0
you,you,nnn,DirectAddress,1
No,no,s,DenyDisclaim,0
better,better,c,DenyDisclaim,1
?,?,nnn,Question,0
Well,well,s,SenseObject,0
sir,sir,c,PersonProperty,0
.,.,nnn,Imperative,0
Say,say,s,Imperative,1
better,better,c,Comparison,0
:,:,s,,0
here,here,s,Immediacy,0
comes,comes,s,Immediacy,1
one,one,s,Specifiers,0
of,of,s,Specifiers,1
my,my,s,FirstPer,0
masters,masters,s,StandardsPos,0
kinsmen,kinsmen,c,PersonProperty,0
.,.,nnn,,0
Yes,yes,c,OralCues,0
",",",",s,OralCues,1
better,better,c,Comparison,0
.,.,nnn,,0
You,you,s,DirectAddress,0
Lie,lie,c,Motions,0
.,.,nnn,MoveBody,0
Draw,draw,s,MoveBody,1
if,if,s,Contingency,0
you,you,s,DirectAddress,0
be,be,s,DirectAddress,1
men,men,c,PersonProperty,0
.,.,s,,0
Gregory,gregory,c,UNRECOGNIZED,0
",",",",s,,0
remember,remember,s,ProjectBack,0
thy,thy,s,DirectAddress,0
washing,washing,s,Motions,0
blow,blow,c,Motions,0
.,.,nnn,Imperative,0
Part,part,s,Imperative,1
Fools,fools,c,Negativity,0
",",",",s,,0
put,put,s,ReportingEvents,0
up,up,s,ReportingEvents,1
your,your,s,DirectAddress,0
Swords,swords,c,SenseObject,0
",",",",s,,0
you,you,s,DirectAddress,0
know,know,s,DirectAddress,1
not,not,s,DenyDisclaim,0
what,what,s,DenyDisclaim,1
you,you,s,DirectAddress,0
do,do,c,DirectAddress,1
.,.,nnn,Question,0
What,what,s,Question,1
art,art,s,AbstractConcepts,0
thou,thou,s,DirectAddress,0
drawn,drawn,c,ReportingStates,0
",",",",s,ReportingStates,1
among,among,s,Specifiers,0
these,these,s,Specifiers,1
heartlesse,heartlesse,s,UNRECOGNIZED,0
Hindes,hindes,c,UNRECOGNIZED,0
?,?,s,Question,0
Turn,turn,s,,0
thee,thee,s,DirectAddress,0
Benuolio,benuolio,c,UNRECOGNIZED,0
",",",",n,,0
look,look,s,SubjectivePercept,0
upon,upon,s,SubjectivePercept,1
thy,thy,s,DirectAddress,0
death,death,nnn,Negativity,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
but,but,s,Resistance,0
keep,keep,s,TimeDuration,0
the,the,s,TimeDuration,1
peace,peace,c,TimeDuration,2
",",",",s,,0
put,put,s,ReportingEvents,0
up,up,s,ReportingEvents,1
thy,thy,s,DirectAddress,0
Sword,sword,c,SenseObject,0
",",",",n,,0
Or,or,s,,0
manage,manage,s,ReportingEvents,0
it,it,s,,0
to,to,s,,0
part,part,s,,0
these,these,s,Immediacy,0
men,men,s,PersonProperty,0
with,with,s,,0
me,me,c,FirstPer,0
.,.,nn,Question,0
What,what,s,Question,1
draw,draw,c,Motions,0
",",",",s,,0
and,and,s,,0
talk,talk,s,Citations,0
of,of,s,Citations,1
peace,peace,c,StandardsPos,0
?,?,s,Question,0
I,i,s,FirstPer,0
hate,hate,s,Negativity,0
the,the,s,LangRef,0
word,word,n,LangRef,1
As,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
hate,hate,s,Negativity,0
hell,hell,c,OralCues,0
",",",",s,OralCues,1
all,all,s,,0
Mountagues,mountagues,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
thee,thee,c,DirectAddress,0
:,:,n,,0
Have,have,s,SubjectivePercept,0
at,at,s,SubjectivePercept,1
thee,thee,s,DirectAddress,0
Coward,coward,c,Anger,0
.,.,nn,,0
Clubs,clubs,c,AbstractConcepts,0
",",",",s,,0
Bills,bills,c,SenseObject,0
",",",",s,,0
and,and,s,,0
Partisons,partisons,c,UNRECOGNIZED,0
",",",",s,,0
strike,strike,c,Negativity,0
",",",",s,,0
beat,beat,s,Negativity,0
them,them,s,,0
down,down,n,,0
Down,down,s,,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
Capulets,capulets,c,UNRECOGNIZED,0
",",",",s,,0
down,down,s,,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
Mountagues,mountagues,c,UNRECOGNIZED,0
.,.,nn,Question,0
What,what,s,Question,1
noise,noise,s,SenseProperty,0
is,is,s,ReportingStates,0
this,this,c,,0
?,?,s,Question,0
Give,give,s,ReportingEvents,0
me,me,s,ReportingEvents,1
my,my,s,FirstPer,0
long,long,s,SenseObject,0
Sword,sword,s,SenseObject,1
ho,ho,c,OralCues,0
.,.,nnn,,0
A,a,s,,0
crutch,crutch,c,SenseObject,0
",",",",s,,0
a,a,s,,0
crutch,crutch,c,SenseObject,0
:,:,s,Question,0
why,why,s,Question,1
call,call,s,ReportingEvents,0
you,you,s,DirectAddress,0
for,for,s,DirectAddress,1
a,a,s,SenseObject,0
Sword,sword,c,SenseObject,1
?,?,nnn,Question,0
My,my,s,FirstPer,0
Sword,sword,s,SenseObject,0
I,i,s,FirstPer,0
say,say,c,Citations,0
:,:,s,Citations,1
Old,old,s,SenseProperty,0
Mountague,mountague,s,UNRECOGNIZED,0
is,is,s,ReportingStates,0
come,come,c,DirectAddress,0
",",",",n,DirectAddress,1
And,and,s,,0
flourishes,flourishes,s,Positivity,0
his,his,s,PersonPronoun,0
Blade,blade,s,SenseObject,0
in,in,s,Resistance,0
spite,spite,s,Resistance,1
of,of,s,Resistance,2
me,me,c,FirstPer,0
.,.,nn,,0
Thou,thou,s,DirectAddress,0
villain,villain,c,Negativity,0
*,*,s,,0
Capulet,capulet,c,UNRECOGNIZED,0
.,.,s,Imperative,0
Hold,hold,s,Imperative,1
me,me,s,FirstPer,0
not,not,c,DenyDisclaim,0
",",",",s,,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
go,go,nnn,ReportingEvents,0
Thou,thou,s,Imperative,0
shall,shall,s,Imperative,1
not,not,s,Imperative,2
stir,stir,s,Motions,0
a,a,s,SenseObject,0
foot,foot,s,SenseObject,1
to,to,s,ProjectAhead,0
seek,seek,s,ProjectAhead,1
a,a,s,,0
Foe,foe,c,Negative_Relation,0
.,.,nnn,,0
Rebellious,rebellious,s,Resistance,0
Subjects,subjects,c,LangRef,0
",",",",s,,0
Enemies,enemies,s,Negativity,0
to,to,s,,0
peace,peace,c,StandardsPos,0
",",",",n,,0
Prophaners,prophaners,s,UNRECOGNIZED,0
of,of,s,Specifiers,0
this,this,s,Specifiers,1
Neighbor-stained,neighbor-stained,s,UNRECOGNIZED,0
Steel,steel,c,SenseObject,0
",",",",n,Future_Question,0
Will,will,s,Future_Question,1
they,they,s,Future_Question,2
not,not,s,DenyDisclaim,0
hear,hear,c,SpaceRelation,0
?,?,s,Question,0
What,what,s,,0
hoe,hoe,c,SenseObject,0
",",",",s,,0
you,you,s,DirectAddress,0
Men,men,c,PersonProperty,0
",",",",s,,0
you,you,s,DirectAddress,0
Beasts,beasts,c,Negativity,0
",",",",n,,0
That,that,s,,0
quench,quench,s,ReportingEvents,0
the,the,s,SenseObject,0
fire,fire,s,SenseObject,1
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
pernicious,pernicious,s,Negativity,0
Rage,rage,c,Anger,0
",",",",n,,0
With,with,s,,0
purple,purple,s,SenseProperty,0
Fountains,fountains,s,SenseObject,0
issuing,issuing,s,ReportingEvents,0
from,from,s,ReportingEvents,1
your,your,s,DirectAddress,0
Veins,veins,c,SenseObject,0
:,:,n,,0
On,on,s,Negativity,0
pain,pain,s,Negativity,1
of,of,s,Negativity,2
Torture,torture,c,Negativity,0
",",",",s,,0
from,from,s,,0
those,those,s,,0
bloody,bloody,s,Negativity,0
hands,hands,n,Negativity,1
Throw,throw,s,DirectAddress,0
your,your,s,DirectAddress,1
mistemper'd,mistemper'd,s,UNRECOGNIZED,0
Weapons,weapons,s,AbstractConcepts,0
to,to,s,SpaceRelation,0
the,the,s,SpaceRelation,1
ground,ground,c,SpaceRelation,2
",",",",n,,0
And,and,s,,0
hear,hear,s,SenseProperty,0
the,the,s,SenseProperty,1
Sentence,sentence,s,AbstractConcepts,0
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
moved,moved,s,ReportingEvents,0
Prince,prince,c,PersonProperty,0
.,.,n,,0
Three,three,s,Numbers,0
civil,civil,s,CommonAuthorities,0
Broils,broils,c,Motions,0
",",",",s,,0
bred,bred,s,ReportingEvents,0
of,of,s,,0
an,an,s,,0
Ayery,ayery,s,UNRECOGNIZED,0
word,word,c,LangRef,0
",",",",n,,0
By,by,s,,0
thee,thee,s,DirectAddress,0
old,old,s,SenseProperty,0
Capulet,capulet,s,UNRECOGNIZED,0
and,and,s,,0
Mountague,mountague,c,UNRECOGNIZED,0
",",",",n,,0
Have,have,s,,0
thrice,thrice,s,Numbers,0
disturbed,disturbed,s,Negativity,0
the,the,s,Negativity,1
quiet,quiet,s,SenseProperty,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
streets,streets,c,SenseObject,0
",",",",n,,0
And,and,s,,0
made,made,s,ReportingEvents,0
Verona's,verona's,s,UNRECOGNIZED,0
ancient,ancient,s,SubjectiveTime,0
Citizens,citizens,n,CommonAuthorities,0
Cast,cast,s,Negativity,0
by,by,s,Negativity,1
their,their,s,PersonPronoun,0
Grave,grave,s,Negativity,0
beseeming,beseeming,s,SubjectivePercept,0
Ornaments,ornaments,c,SenseObject,0
",",",",n,,0
To,to,s,,0
wield,wield,s,ReportingEvents,0
old,old,s,SenseProperty,0
Partisans,partisans,c,SubjectivePercept,0
",",",",s,,0
in,in,s,,0
hands,hands,s,SenseObject,0
as,as,s,,0
old,old,c,SenseProperty,0
",",",",n,,0
Cankred,cankred,s,UNRECOGNIZED,0
with,with,s,,0
peace,peace,c,StandardsPos,0
",",",",s,,0
to,to,s,,0
part,part,s,,0
your,your,s,DirectAddress,0
Cankred,cankred,s,UNRECOGNIZED,0
hate,hate,c,Negativity,0
",",",",n,,0
If,if,s,Contingency,0
ever,ever,s,Contingency,1
you,you,s,DirectAddress,0
disturb,disturb,s,Negativity,0
our,our,s,Inclusive,0
streets,streets,s,SenseObject,0
again,again,c,RecurringEvents,0
",",",",n,,0
Your,your,s,DirectAddress,0
lives,lives,s,DirectAddress,1
shall,shall,s,ProjectAhead,0
pay,pay,s,ReportingEvents,0
the,the,s,ReportingEvents,1
forfeit,forfeit,s,ReportingEvents,2
of,of,s,,0
the,the,s,,0
peace,peace,c,StandardsPos,0
.,.,n,,0
For,for,s,,0
this,this,s,Immediacy,0
time,time,s,Immediacy,1
all,all,s,Specifiers,0
the,the,s,Specifiers,1
rest,rest,s,Specifiers,2
depart,depart,s,SceneShift,0
away,away,c,,0
:,:,n,,0
You,you,s,DirectAddress,0
Capulet,capulet,s,UNRECOGNIZED,0
shall,shall,s,ProjectAhead,0
go,go,s,ReportingEvents,0
along,along,s,ReportingEvents,1
with,with,s,ReportingEvents,2
me,me,c,FirstPer,0
",",",",n,,0
And,and,s,,0
Mountague,mountague,s,UNRECOGNIZED,0
come,come,s,ReportingEvents,0
you,you,s,DirectAddress,0
this,this,s,Immediacy,0
afternoon,afternoon,c,Immediacy,1
",",",",n,,0
To,to,s,,0
know,know,s,Confidence,0
our,our,s,Inclusive,0
Fathers,fathers,s,Inclusive,1
pleasure,pleasure,s,Positivity,0
in,in,s,Example,0
this,this,s,Example,1
case,case,c,Example,2
:,:,n,,0
To,to,s,,0
old,old,s,SenseProperty,0
Free-towne,free-towne,c,UNRECOGNIZED,0
",",",",s,,0
our,our,s,Inclusive,0
common,common,s,Inclusive,1
judgment,judgment,s,PrivateThinking,0
place,place,c,SpaceRelation,0
:,:,n,,0
Once,once,s,RecurringEvents,0
more,more,s,RecurringEvents,1
on,on,s,Negativity,0
pain,pain,s,Negativity,1
of,of,s,Negativity,2
death,death,c,Negativity,0
",",",",s,Generalization,0
all,all,s,Generalization,1
men,men,s,PersonProperty,0
depart,depart,c,SceneShift,0
.,.,nn,Question,0
Who,who,s,Question,1
set,set,s,ReportingEvents,0
this,this,s,,0
ancient,ancient,s,SubjectiveTime,0
quarrel,quarrel,s,Negative_Relation,0
new,new,s,,0
abroach,abroach,c,SpaceRelation,0
?,?,n,Question,0
Speak,speak,s,ReportingEvents,0
Nephew,nephew,c,PersonProperty,0
",",",",s,,0
were,were,s,ProjectBack,0
you,you,s,DirectAddress,0
by,by,c,,0
",",",",s,,0
when,when,s,Question,0
it,it,s,Question,1
began,began,c,Citations,0
:,:,nn,Citations,1
Here,here,s,SpaceRelation,0
were,were,s,ProjectBack,0
the,the,s,SenseObject,0
servants,servants,s,SenseObject,1
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
adversary,adversary,c,Resistance,0
",",",",n,,0
And,and,s,,0
yours,yours,s,DirectAddress,0
close,close,s,SpaceRelation,0
fighting,fighting,s,SpaceRelation,1
ere,ere,s,ProjectBack,0
I,i,s,FirstPer,0
did,did,s,ReportingEvents,0
approach,approach,c,AbstractConcepts,0
",",",",n,,0
I,i,s,FirstPer,0
drew,drew,s,Positivity,0
to,to,s,Positivity,1
part,part,s,,0
them,them,c,,0
",",",",s,,0
in,in,s,,0
the,the,s,SubjectiveTime,0
instant,instant,s,SubjectiveTime,1
came,came,n,Narrative_Verbs,0
The,the,s,Narrative_Verbs,1
fiery,fiery,s,SenseProperty,0
Tibalt,tibalt,c,UNRECOGNIZED,0
",",",",s,,0
with,with,s,,0
his,his,s,PersonPronoun,0
sword,sword,s,SenseObject,0
prepared,prepared,c,ReportingStates,0
",",",",n,ReportingStates,1
Which,which,s,,0
as,as,s,TimeDuration,0
he,he,s,TimeDuration,1
breathed,breathed,s,Motions,0
defiance,defiance,s,Resistance,0
to,to,s,Resistance,1
my,my,s,FirstPer,0
ears,ears,c,SenseObject,0
",",",",n,,0
He,he,s,PersonPronoun,0
swong,swong,s,UNRECOGNIZED,0
about,about,s,,0
his,his,s,PersonPronoun,0
head,head,c,SenseObject,0
",",",",s,,0
and,and,s,,0
cut,cut,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
winds,winds,c,SenseProperty,0
",",",",n,,0
